checkpoint_id,domain,checkpoint_question,expected_standard,actual_observation,score_0_100,severity_P0_P1_P2_P3,confidence_low_medium_high,evidence_ids,evidence_files,recommendation,fix_effort_XS_S_M_L_XL,business_impact_low_medium_high_critical,risk_if_ignored,visual_change_risk_none_minor_major,blocks_launch_yes_no
CP-01-24,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for console and logging hygiene?,"Evidence-backed production readiness for console and logging hygiene, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep console and logging hygiene under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-25,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for type safety?,"Evidence-backed production readiness for type safety, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep type safety under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-26,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for duplicate or dead code risk?,"Evidence-backed production readiness for duplicate or dead code risk, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep duplicate or dead code risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-27,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for README and implementation alignment?,"Evidence-backed production readiness for README and implementation alignment, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep README and implementation alignment under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-28,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for accessibility controls?,"Evidence-backed production readiness for accessibility controls, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep accessibility controls under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-29,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for mobile layout behavior?,"Evidence-backed production readiness for mobile layout behavior, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep mobile layout behavior under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-30,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for Bangladesh localization?,"Evidence-backed production readiness for Bangladesh localization, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep Bangladesh localization under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-31,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for Bangla and English readiness?,"Evidence-backed production readiness for Bangla and English readiness, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep Bangla and English readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-32,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for Merchant Center readiness?,"Evidence-backed production readiness for Merchant Center readiness, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep Merchant Center readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-33,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for webhook readiness?,"Evidence-backed production readiness for webhook readiness, preserving current visual design unless necessary.","Payment env variables exist, but no webhook route was found.",45,P1,medium,E043;E050,webhook route scan; src/app/api/admin/orders/[id]/payment-status/route.ts,Fix webhook readiness before launch or before enabling related feature.,S,medium,Launch risk remains around webhook readiness.,none,no
CP-01-34,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for shipment tracking readiness?,"Evidence-backed production readiness for shipment tracking readiness, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep shipment tracking readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-35,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for fraud and moderation readiness?,"Evidence-backed production readiness for fraud and moderation readiness, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep fraud and moderation readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-36,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for cache and revalidation?,"Evidence-backed production readiness for cache and revalidation, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep cache and revalidation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-37,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for N+1 or bulk-fetch risk?,"Evidence-backed production readiness for N+1 or bulk-fetch risk, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep N+1 or bulk-fetch risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-38,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for payment status integrity?,"Evidence-backed production readiness for payment status integrity, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep payment status integrity under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-39,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for guest and buyer flow?,"Evidence-backed production readiness for guest and buyer flow, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep guest and buyer flow under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-40,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for account privacy?,"Evidence-backed production readiness for account privacy, preserving current visual design unless necessary.","Account order detail is owner-scoped, but public confirmation exposes PII by orderNumber.",35,P0,medium,E022;E023;E010,src/app/(store)/order/[orderNumber]/confirmation/page.tsx; src/app/(store)/account/orders/[id]/page.tsx; .gitignore / git ls-files .env,Fix account privacy before launch or before enabling related feature.,M,critical,Launch risk remains around account privacy.,none,yes
CP-01-41,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for product SEO fields?,"Evidence-backed production readiness for product SEO fields, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep product SEO fields under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-42,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for category taxonomy?,"Evidence-backed production readiness for category taxonomy, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep category taxonomy under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-43,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for internal linking?,"Evidence-backed production readiness for internal linking, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep internal linking under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-44,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for reviews and ratings?,"Evidence-backed production readiness for reviews and ratings, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep reviews and ratings under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-45,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for returns and refunds?,"Evidence-backed production readiness for returns and refunds, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep returns and refunds under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-46,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for deployment headers?,"Evidence-backed production readiness for deployment headers, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep deployment headers under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-47,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for dependency deprecation?,"Evidence-backed production readiness for dependency deprecation, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep dependency deprecation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-48,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for observability?,"Evidence-backed production readiness for observability, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep observability under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-49,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for visual preservation?,"Evidence-backed production readiness for visual preservation, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep visual preservation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-50,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for launch risk?,"Evidence-backed production readiness for launch risk, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep launch risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-01,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for route group coverage?","Evidence-backed production readiness for route group coverage, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep route group coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-02,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for API mutation coverage?","Evidence-backed production readiness for API mutation coverage, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep API mutation coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-03,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for RBAC enforcement?","Evidence-backed production readiness for RBAC enforcement, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep RBAC enforcement under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-04,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for authenticated data access?","Evidence-backed production readiness for authenticated data access, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep authenticated data access under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-05,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for schema support?","Evidence-backed production readiness for schema support, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep schema support under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-06,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for validation path?","Evidence-backed production readiness for validation path, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep validation path under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-07,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for error handling?","Evidence-backed production readiness for error handling, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep error handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-08,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for audit logging?","Evidence-backed production readiness for audit logging, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep audit logging under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-09,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for environment dependency?","Evidence-backed production readiness for environment dependency, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep environment dependency under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-10,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for command verification?","Evidence-backed production readiness for command verification, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep command verification under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-11,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for test coverage?","Evidence-backed production readiness for test coverage, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep test coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-12,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for data fetching strategy?","Evidence-backed production readiness for data fetching strategy, preserving current visual design unless necessary.",In-memory route limiter exists but is not distributed.,58,P1,medium,E008,src/backend/security/rate-limit.ts,Fix data fetching strategy before launch or before enabling related feature.,S,medium,Launch risk remains around data fetching strategy.,none,no
CP-02-13,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for image/media handling?","Evidence-backed production readiness for image/media handling, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep image/media handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-14,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for metadata and canonical handling?","Evidence-backed production readiness for metadata and canonical handling, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E011;E017;E018,src/backend/seo/metadata.ts; src/app/(store)/category/[slug]/page.tsx; src/app/(store)/search/page.tsx,Keep metadata and canonical handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-15,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for structured data handling?","Evidence-backed production readiness for structured data handling, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E014;E016;E017,src/backend/seo/structured-data.ts; src/app/(store)/products/[slug]/page.tsx; src/app/(store)/category/[slug]/page.tsx,Keep structured data handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-16,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for sitemap and robots handling?","Evidence-backed production readiness for sitemap and robots handling, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep sitemap and robots handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-02-17,"Build system, package scripts, dependencies, and version hygiene","Does Build system, package scripts, dependencies, and version hygiene meet the launch standard for pagination and facets?","Evidence-backed production readiness for pagination and facets, preserving current visual design unless necessary.",Typecheck/lint/tests pass; build/dependency audit skipped under audit-only constraints.,74,P2,medium,E001;E032;E033;E035;E047,package.json; npm.cmd run typecheck -- --incremental false; npm.cmd run lint; npm.cmd run build; npm audit,Keep pagination and facets under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
