evidence_id,source_type,file_path_or_command,line_or_symbol_if_available,evidence_summary,confidence_low_medium_high,notes
E010,config,.gitignore / git ls-files .env,.gitignore lines 25-27; git ls-files empty,.env is ignored and git ls-files .env returned no tracked path.,high,
E011,file,src/backend/seo/metadata.ts,31-92,"Product/category/page metadata helpers build canonical, Open Graph, Twitter, robots, and Bangladesh price-intent copy.",high,
E012,file,src/app/sitemap.ts,32-61,Dynamic sitemap includes static pages and active product/category URLs.,high,
E013,file,src/app/robots.ts,11-27,robots allows public crawl and disallows admin/api/account/checkout/auth/cart.,high,
E014,file,src/backend/seo/structured-data.ts,41-135,"JSON-LD generators cover Product, Offer, shipping, returns, ratings/reviews, BreadcrumbList, Organization, WebSite/SearchAction, OnlineStore, FAQ, ItemList.",high,
E015,file,src/app/(store)/page.tsx,162-169,Home page emits Organization/WebSite/LocalBusiness JSON-LD and uses ISR revalidate=300.,high,
E016,file,src/app/(store)/products/[slug]/page.tsx,16-79,"Product page uses cached DB fetches, revalidate=60, product metadata, Product/Breadcrumb JSON-LD, approved reviews, and related products.",high,
E017,file,src/app/(store)/category/[slug]/page.tsx,99-137,"Category page has metadata, filters, pagination, JSON-LD; effective-price sort fetches all matches before slicing.",high,
E018,file,src/app/(store)/search/page.tsx,24-133,Search page generates simple title/description; effective-price sort fetches all matches before slicing.,high,
E019,file,src/app/api/orders/route.ts,98-427,"Order API requires auth, rate limits, validates active payment method, ignores client prices, validates stock/coupons, and creates order/payment in a transaction.",high,
E020,file,src/app/(store)/checkout/page.tsx,89-130,Checkout redirects unauthenticated users and gates payment options by PAYMENT_GATEWAYS availability.,high,
E021,file,src/backend/config/payment.ts,10-52,COD is available; bKash/Nagad are gated by NEXT_PUBLIC_BANGLADESH_ONLINE_PAYMENTS; Stripe unavailable.,high,
E022,file,src/app/(store)/order/[orderNumber]/confirmation/page.tsx,14-91,"Order confirmation fetches by orderNumber without auth() and renders name, phone, address, items, totals, payment status.",high,
E023,file,src/app/(store)/account/orders/[id]/page.tsx,47-63,Account order detail requires auth and scopes lookup to id plus session.user.id.,high,
E024,file,src/app/api/reviews/route.ts,25-55,"Review API requires sign-in, delivered order, and no duplicate product/user review.",high,
E025,file,src/app/api/returns/route.ts,32-89,"Return API requires owner, delivered status, no existing return, and 7-day window.",high,
E026,file,src/backend/admin/product-editor.ts,369-401,Admin product editor assigns products to the approved first-party seller returned by getOfficialSeller.,high,
E027,file,src/backend/admin/image-processing.ts / product-editor.ts,image-processing 53-127; product-editor 73-80,"Uploads accept data:image/*, infer extension from MIME, process with Sharp, and store under public uploads; no explicit decoded byte/pixel cap or strict MIME allowlist found.",medium,
E028,file,src/app/api/admin/users/[id]/route.ts,63-118,User admin route prevents non-super-admins from managing SUPER_ADMIN and prevents self-deactivation/self-demotion.,high,
E029,file,src/backend/admin/admin-utils.ts,38-39,Admin audit log write failures are swallowed silently.,high,
E030,file,src/backend/admin/reports.ts,129-145,Admin report CSV escapes commas/quotes/newlines and formula-prefix values.,high,
E031,route,src/app route scan and README.md,route scan no seller files,"README references seller routes/foundation, but route scan found 0 seller/vendor route files.",high,
E032,command,npm.cmd run typecheck -- --incremental false,exit 0,TypeScript typecheck passed.,high,
E033,command,npm.cmd run lint,exit 0,Lint passed; Next warned next lint is deprecated and removed in Next.js 16.,high,
E034,command,npm.cmd test,exit 0,"Tests passed: 85 tests, 20 suites, 0 failures.",high,
E035,command,npm.cmd run build,skipped,Skipped because next build writes .next outside audit-reports under audit-only rules.,high,
E036,file,AGENTS.md search,rg --files -g AGENTS.md no output,No AGENTS.md found.,high,
E037,config,git status -sb,command output,Worktree already had modified public category image assets; audit did not modify them.,high,
E038,config,tsconfig.json,compilerOptions,"TypeScript strict is enabled; allowJs, skipLibCheck, and incremental are also enabled.",high,
E039,config,package.json / README.md,dependency lists,"README lists Framer Motion, TanStack Query, SWR, Embla Carousel but package.json does not include them.",medium,
E040,file,prisma/seed.ts,lines 552-553,Seed script prints demo credentials; it was not run.,high,
E041,file,src/backend/database/index.ts,13-29,Database module has temporary any-typed Prisma delegate shim.,high,
E042,search,console/TODO/any/catch scan,command output,"Static scan found console statements, any usage, and broad catch blocks in source/scripts/tests.",high,
E043,route,webhook route scan,route map,"Payment webhook env variables exist, but no /api/*webhook* route was found.",medium,
E044,test,tests/**/*.test.ts,test file scan,Tests focus on validators/utilities; no browser/e2e flow tests found.,high,
E045,not_verified,browser rendering/Core Web Vitals,not run,No Playwright/Lighthouse/browser checks were run.,low,
E046,not_verified,external services,not called by rule,"Live payment, tracking, email, SMS, production DB services were not called.",high,
E047,command,npm audit,skipped,Dependency advisory audit was skipped; no local audit script and registry access not required.,medium,
E048,file,src/app/api/contact/route.ts / newsletter/route.ts,contact 18-46; newsletter 5-27,Public contact/newsletter APIs validate fields and rate limit.,high,
E049,file,src/app/api/admin/orders/[id]/status/route.ts,9-88,"Admin order status route enforces transition table, re-stocks cancellation, notifies buyer, logs audit.",high,
E050,file,src/app/api/admin/orders/[id]/payment-status/route.ts,5-59,Admin payment status route updates/creates Payment rows; no gateway verification in this route.,high,
E051,schema,prisma/schema.prisma,Order/Payment/Shipping models,"Schema has order/payment/shipping basics but no explicit shipment event, invoice, fraud, payout, or webhook event models.",high,
E052,file,src/app/api/products/[id]/view/route.ts,25-49,Product view tracking uses user or guest viewer key.,high,
E053,file,src/app/(store)/layout.tsx / layout components,store shell,"Store layout wraps customer pages with Header, Footer, Providers, CartDrawer.",high,
E054,not_verified,live buyer/seller/admin flows,not run in browser,Flows inspected in source/tests but not clicked in browser.,low,
E055,not_verified,deployment config,not verified,"CDN, production runtime, hosted secret store, and deployment settings not verified.",low,
E056,file,src/app/sitemap.ts,58-61,Sitemap catches DB errors and falls back to static pages.,high,
E057,file,src/app/api/coupons/validate/route.ts,route scan,Coupon validation route exists alongside final order-server validation.,high,
E058,file,src/frontend/stores/cart.ts / wishlist.ts / compare.ts,client store scan,Cart/wishlist/compare are client-side Zustand stores; server merge not verified.,medium,
E059,file,src/app/api/account/*.ts,account API scan,Account profile/address APIs require auth and scope to session.user.id.,high,
E060,search,custom mutation CSRF/origin scan,sampled routes,Sampled mutations rely on auth/validation; no explicit CSRF token or Origin/Referer allowlist was found.,medium,
