file_path,file_type,feature_area,inspected_yes_no,role_summary,main_exports_or_components,code_readability_score_0_100,maintainability_score_0_100,production_readiness_score_0_100,security_risk_0_100,performance_risk_0_100,seo_relevance_0_100,bug_risk_0_100,dead_code_risk_0_100,visual_regression_risk_0_100,key_findings,evidence_ids,recommended_action,priority_P0_P1_P2_P3,confidence_low_medium_high
src/app/(admin)/admin/content/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminContentPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/coupons/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminCouponDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/coupons/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewCouponPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/coupons/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminCouponsPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/dashboard/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,AdminDashboard,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/flash-sales/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminFlashSaleDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/flash-sales/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewFlashSalePage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/flash-sales/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminFlashSalesPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/inventory/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminInventoryPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/layout.tsx,layout,admin_rbac_operations,yes,layout for admin_rbac_operations.,AdminLayout,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E006,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/notifications/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNotificationsPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/orders/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminOrderDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/orders/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminOrdersPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,AdminIndexPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/products/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminProductDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/products/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewProductPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/products/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminProductsPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/reports/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminReportsPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E030,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/returns/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminReturnDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/returns/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminReturnsPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/reviews/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminReviewsPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/settings/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,AdminSettingsPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/users/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminUserDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/users/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminUsersPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/about/page.tsx,page,general,yes,page for general.,metadata; AboutPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/account/addresses/page.tsx,page,buyer_account,yes,page for buyer_account.,metadata; AddressesPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/account/orders/[id]/page.tsx,page,buyer_account,yes,page for buyer_account.,metadata; OrderDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E023,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/account/orders/page.tsx,page,buyer_account,yes,page for buyer_account.,metadata; AccountOrdersPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/account/page.tsx,page,buyer_account,yes,page for buyer_account.,metadata; AccountPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/account/profile/page.tsx,page,buyer_account,yes,page for buyer_account.,metadata; ProfilePage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/auth/login/page.tsx,page,auth_session,yes,page for auth_session.,LoginPage,84,82,78,28,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E004,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/auth/register/page.tsx,page,auth_session,yes,page for auth_session.,RegisterPage,84,82,78,28,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E004,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/cart/page.tsx,page,buyer_client_state,yes,page for buyer_client_state.,CartPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/category/[slug]/page.tsx,page,category_taxonomy,yes,page for category_taxonomy.,revalidate; generateMetadata; CategoryPage,84,82,78,10,28,35,14,8,28,Listing page is SEO/performance-sensitive.,E017,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/category/page.tsx,page,category_taxonomy,yes,page for category_taxonomy.,metadata; revalidate; CategoriesPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/checkout/page.tsx,page,checkout_orders,yes,page for checkout_orders.,CheckoutPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E020,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/compare/page.tsx,page,buyer_client_state,yes,page for buyer_client_state.,ComparePage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/contact/page.tsx,page,general,yes,page for general.,metadata; ContactPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/deals/page.tsx,page,general,yes,page for general.,metadata; revalidate; DealsPage,84,82,73,10,10,10,14,8,28,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/faq/page.tsx,page,general,yes,page for general.,metadata; FAQPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/help/page.tsx,page,general,yes,page for general.,metadata; HelpPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/layout.tsx,layout,general,yes,layout for general.,StoreLayout,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/new-arrivals/page.tsx,page,general,yes,page for general.,metadata; revalidate; NewArrivalsPage,84,82,73,10,10,10,14,8,28,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/order/[orderNumber]/confirmation/page.tsx,page,checkout_orders,yes,page for checkout_orders.,OrderConfirmationPage,84,82,53,80,10,10,49,8,28,Public orderNumber lookup renders personal delivery details.,E022,Require auth and owner match or signed short-lived token before rendering order details.,P0,high
src/app/(store)/page.tsx,page,general,yes,page for general.,metadata; revalidate; HomePage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E015,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/privacy/page.tsx,page,general,yes,page for general.,metadata; PrivacyPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/products/[slug]/page.tsx,page,product_catalog,yes,page for product_catalog.,revalidate; generateMetadata; ProductPage,84,82,78,10,10,60,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E016,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/returns/page.tsx,page,post_purchase,yes,page for post_purchase.,metadata; ReturnsPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/search/page.tsx,page,search_discovery,yes,page for search_discovery.,generateMetadata; SearchPage,84,72,78,10,28,35,22,8,28,Uses any/loose typing. Listing page is SEO/performance-sensitive.,E018,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/shipping/page.tsx,page,general,yes,page for general.,metadata; ShippingPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/terms/page.tsx,page,general,yes,page for general.,metadata; TermsPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/track-order/page.tsx,page,general,yes,page for general.,metadata; TrackOrderPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(store)/wishlist/page.tsx,page,buyer_client_state,yes,page for buyer_client_state.,WishlistPage,84,72,78,10,10,10,22,8,28,Uses any/loose typing.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/api/account/addresses/[id]/route.ts,api_route,buyer_account,yes,api_route for buyer_account.,PUT; DELETE,84,82,78,28,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E059;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/account/addresses/route.ts,api_route,buyer_account,yes,api_route for buyer_account.,POST,84,82,78,28,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E059;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/account/profile/route.ts,api_route,buyer_account,yes,api_route for buyer_account.,PUT,84,82,78,28,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E059;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/admin/banners/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,73,46,10,10,14,8,8,Contains console logging path. Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/banners/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/categories/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,73,46,10,10,14,8,8,Contains console logging path. Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/categories/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/content/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/content/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/coupons/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/coupons/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/flash-sales/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/flash-sales/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/inventory/products/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/notifications/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PATCH; DELETE,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/notifications/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET; POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/orders/[id]/payment-status/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E050;E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/orders/[id]/status/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E049;E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/products/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PUT; DELETE,84,82,73,46,10,10,14,8,8,Contains console logging path. Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/products/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,POST,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/reports/export/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET,84,72,78,28,10,10,22,8,8,Uses any/loose typing.,E030,Keep as-is or clean opportunistically.,P3,high
src/app/api/admin/reports/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET,84,72,78,28,10,10,22,8,8,Uses any/loose typing.,E030,Keep as-is or clean opportunistically.,P3,high
src/app/api/admin/returns/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET; PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/returns/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET,84,82,78,28,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/api/admin/reviews/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/settings/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET; PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/users/[id]/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET; PATCH,84,82,78,46,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E028;E060,Fix before launch while preserving visuals.,P1,high
src/app/api/admin/users/route.ts,api_route,admin_rbac_operations,yes,api_route for admin_rbac_operations.,GET,84,82,78,28,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/api/auth/[...nextauth]/route.ts,api_route,auth_session,yes,api_route for auth_session.,none detected,84,82,78,28,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E004,Keep as-is or clean opportunistically.,P3,high
src/app/api/auth/register/route.ts,api_route,auth_session,yes,api_route for auth_session.,POST,84,72,78,61,10,10,22,8,8,Uses any/loose typing. Mutation route has no visible auth/requireAdminSession call.,E004;E060,Fix before launch while preserving visuals.,P1,high
src/app/api/contact/route.ts,api_route,general,yes,api_route for general.,POST,84,82,78,43,10,10,14,8,8,Mutation route has no visible auth/requireAdminSession call.,E048;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/coupons/validate/route.ts,api_route,general,yes,api_route for general.,GET,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/api/newsletter/route.ts,api_route,general,yes,api_route for general.,POST,84,82,78,43,10,10,14,8,8,Mutation route has no visible auth/requireAdminSession call.,E048;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/orders/route.ts,api_route,checkout_orders,yes,api_route for checkout_orders.,GET; POST,84,82,73,28,10,10,14,8,8,Contains console logging path.,E019;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/products/[id]/view/route.ts,api_route,product_catalog,yes,api_route for product_catalog.,POST,84,82,78,28,10,10,14,8,8,Mutation route has no local rateLimit call visible.,E052;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/products/route.ts,api_route,product_catalog,yes,api_route for product_catalog.,GET,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/api/returns/route.ts,api_route,post_purchase,yes,api_route for post_purchase.,POST,84,82,73,28,10,10,14,8,8,Contains console logging path. Mutation route has no local rateLimit call visible.,E025;E060,Keep as-is or clean opportunistically.,P3,high
src/app/api/reviews/route.ts,api_route,post_purchase,yes,api_route for post_purchase.,POST; GET,84,82,78,28,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E024;E060,Keep as-is or clean opportunistically.,P3,high
